       column         slice  precision    recall     fbeta
0   education   Prof-school   0.894118  0.950000  0.921212
1   education       HS-grad   0.871795  0.310030  0.457399
2   education     Bachelors   0.782895  0.807692  0.795100
3   education  Some-college   0.750000  0.458182  0.568849
4   education       7th-8th   1.000000  0.125000  0.222222
5   education       Masters   0.858537  0.880000  0.869136
6   education          11th   1.000000  0.454545  0.625000
7   education    Assoc-acdm   0.688889  0.720930  0.704545
8   education     Assoc-voc   0.769231  0.468750  0.582524
9   education       5th-6th   0.666667  1.000000  0.800000
10  education          10th   1.000000  0.200000  0.333333
11  education          12th   1.000000  0.333333  0.500000
12  education     Doctorate   0.800000  0.872727  0.834783
13  education       1st-4th   1.000000  0.000000  0.000000
14  education           9th   0.500000  0.333333  0.400000
15  education     Preschool   1.000000  1.000000  1.000000
